TITRE,Date de diffusion,Chaîne,Nationalité,Téléspectateurs (en millions),Part d'audience (en %),Jour,Vacances scolaires,IMDB ID,IMDB - Note moyenne,IMDB - Nombre de votes,Année de sortie,Genres,Durée (en min.)
TOUCHEZ PAS AU GRISBI,2001-10-07,Arte,France,2.43156,9.6,Sunday,non,tt0046451,7.7,8841,1954,"Crime,Drama",96
LES VIKINGS,2001-11-11,Arte,Etats-Unis,2.27298,9.3,Sunday,non,tt0052365,7.0,16077,1958,"Action,Adventure,History",116
L'ARNAQUE,2001-10-21,Arte,Etats-Unis,2.22012,9.5,Sunday,oui,tt0070735,8.3,286448,1973,"Comedy,Crime,Drama",129
LE DINER DE CONS,2001-05-29,TF1,France,11.68206,50.3,Tuesday,non,tt0119038,7.6,45526,1998,Comedy,80
ASTERIX ET OBELIX CONTRE CESAR,2001-10-23,TF1,France,10.51914,43.0,Tuesday,oui,tt0133385,6.0,46286,1999,"Adventure,Comedy,Family",109
LES AVENTURES DE RABBI JACOB,2001-12-30,TF1,France,9.83196,38.8,Sunday,oui,tt0069747,7.4,15282,1973,"Adventure,Comedy",95
58 MINUTES POUR VIVRE,2001-02-25,TF1,Etats-Unis,9.7791,42.6,Sunday,oui,tt0099423,7.1,392585,1990,"Action,Thriller",124
LE DERNIER SAMARITAIN,2001-01-14,TF1,Etats-Unis,9.62052,40.2,Sunday,non,tt0102266,7.0,114907,1991,"Action,Comedy,Crime",105
LE CERVEAU,2001-03-18,M6,France/Italie,6.02604,27.1,Sunday,non,tt0064146,6.8,4480,1969,"Adventure,Comedy,Crime",115
BAD BOYS FLICS DE CHOC,2001-01-22,M6,Etats-Unis,6.02604,26.8,Monday,non,tt0112442,6.8,301300,1995,"Action,Comedy,Crime",119
MONEY TRAIN,2001-02-05,M6,Etats-Unis,5.65602,24.6,Monday,non,tt0113845,5.7,43916,1995,"Action,Comedy,Crime",110
SENS UNIQUE,2001-02-26,M6,Etats-Unis,5.60316,24.3,Monday,oui,tt0093640,7.1,49248,1987,"Action,Crime,Drama",114
LE GRAND TOURNOI,2001-02-19,M6,Etats-Unis,5.23314,21.3,Monday,oui,tt0117420,5.6,28829,1996,"Action,Adventure,Drama",95
L'ARME FATALE 4,2002-03-10,France 2,Etats-Unis,8.639,36.9,Sunday,non,tt0122151,6.6,175212,1998,"Action,Crime,Thriller",127
SPEED,2002-04-23,France 2,Etats-Unis,7.473,33.3,Tuesday,oui,tt0111257,7.3,402464,1994,"Action,Adventure,Thriller",116
LES PLEINS POUVOIRS,2002-11-24,France 2,Etats-Unis,7.367,30.8,Sunday,non,tt0118548,6.7,61611,1997,"Action,Crime,Drama",121
HAUTE VOLTIGE,2002-11-05,France 2,Etats-Unis,6.943,31.1,Tuesday,non,tt0137494,6.3,126000,1999,"Action,Crime,Romance",113
MEURTRE A LA MAISON BLANCHE,2002-09-03,France 2,Etats-Unis,6.572,29.7,Tuesday,non,tt0119731,6.1,33478,1997,"Action,Crime,Drama",107
LA VIE EST BELLE,2002-01-14,France 3,Italie,7.155,30.6,Monday,non,tt0118799,8.6,764813,1997,"Comedy,Drama,Romance",116
L'EFFACEUR,2002-03-14,France 3,Etats-Unis,6.519,28.3,Thursday,non,tt0116213,6.2,120242,1996,"Action,Crime,Thriller",115
LE BONHEUR EST DANS LE PRE,2002-12-05,France 3,France,6.466,27.9,Thursday,non,tt0112556,7.0,3033,1995,Comedy,106
LE FUGITIF,2002-11-28,France 3,Etats-Unis,5.936,25.9,Thursday,non,tt0106977,7.8,327806,1993,"Action,Crime,Drama",130
LA RANCON,2002-10-17,France 3,Etats-Unis,5.247,23.3,Thursday,non,tt0117438,6.7,138266,1996,"Action,Crime,Drama",121
LE PEUPLE SINGE,2002-11-01,France 5,France,0.795,8.3,Friday,oui,tt0098088,7.1,96,1989,"Documentary,Family",85
POUCELINA,2002-01-03,France 5,Etats-Unis,0.742,10.2,Thursday,oui,tt0111419,6.2,19196,1994,"Adventure,Animation,Family",86
LE ROI ET L'OISEAU,2002-01-01,France 5,France,0.742,6.8,Tuesday,oui,tt0079820,7.7,5693,1980,"Animation,Family,Fantasy",83
FIFI BRINDACIER,2002-01-04,France 5,Allemagne,0.689,9.0,Friday,oui,tt0062598,7.4,4755,1969,"Adventure,Comedy,Drama",27
AU BONHEUR DES DAMES,2002-08-28,France 5,France,0.53,10.8,Wednesday,oui,tt0020656,7.3,591,1930,"Drama,Romance",85
MAIGRET TEND UN PIEGE,2002-10-14,Arte,France/Italie,2.597,10.3,Monday,non,tt0050669,7.2,2289,1958,"Crime,Drama,Mystery",119
JEREMIAH JOHNSON,2002-03-31,Arte,Etats-Unis,2.332,11.7,Sunday,non,tt0068762,7.6,36099,1972,"Adventure,Drama,Western",108
MON ONCLE,2002-12-30,Arte,France/Italie,2.332,9.9,Monday,oui,tt0050706,7.7,24792,1958,Comedy,116
SALOMON ET LA REINE DE SABA,2002-01-27,Arte,Etats-Unis,2.279,10.0,Sunday,non,tt0053290,6.1,3908,1959,"Drama,History,Romance",141
LA BELLE AMERICAINE,2002-05-12,Arte,France,2.12,9.2,Sunday,non,tt0054676,6.3,720,1961,Comedy,104
6 JOURS 7 NUITS,2002-02-17,TF1,Etats-Unis,10.971,44.0,Sunday,oui,tt0120828,5.9,84926,1998,"Action,Adventure,Comedy",102
TAXI 2,2002-10-01,TF1,France,10.388,42.4,Tuesday,non,tt0183869,6.5,60367,2000,"Action,Comedy,Crime",88
LE MASQUE DE ZORRO,2002-04-14,TF1,Etats-Unis,10.335,44.7,Sunday,oui,tt0120746,6.8,201895,1998,"Action,Adventure,Comedy",136
LE FLIC DE BEVERLY HILLS 3,2002-01-08,TF1,Etats-Unis,9.858,40.3,Tuesday,non,tt0109254,5.5,96479,1994,"Action,Comedy,Crime",104
UN INDIEN DANS LA VILLE,2002-12-22,TF1,France,9.858,39.7,Sunday,oui,tt0111543,5.7,4787,1994,"Adventure,Comedy,Romance",90
LA VERITE SI JE MENS,2002-09-16,M6,France,5.565,25.2,Monday,non,tt0120471,6.4,5027,1997,"Comedy,Romance",100
LE CAVE SE REBIFFE,2002-06-16,M6,France/Italie,5.406,30.7,Sunday,non,tt0054734,7.0,1459,1961,"Comedy,Crime",98
JACKIE CHAN DANS LE BRONX,2002-02-18,M6,Hong Kong,5.3,20.6,Monday,oui,tt0113326,6.8,47076,1995,"Action,Comedy,Crime",87
LES BARBOUZES,2002-06-09,M6,France,5.088,25.7,Sunday,non,tt0057870,6.8,2060,1964,"Action,Comedy,Thriller",84
RONIN,2002-02-25,M6,Etats-Unis,4.823,21.5,Monday,oui,tt0122690,7.2,199397,1998,"Action,Crime,Thriller",122
LE PERE NOEL EST UNE ORDURE,2003-12-21,France 2,France,7.67808,29.8,Sunday,oui,tt0416175,7.8,1520,1985,Drama,86
MATRIX,2003-05-18,France 2,Etats-Unis,7.51812,32.8,Sunday,non,tt0133093,8.7,2117215,1999,"Action,Sci-Fi",136
LES TONTONS FLINGUEURS,2003-12-02,France 2,France,7.51812,31.3,Tuesday,non,tt0057591,7.7,6773,1963,"Action,Comedy,Crime",105
UN CRIME AU PARADIS,2003-03-11,France 2,France,7.51812,30.0,Tuesday,non,tt0245530,6.5,2046,2001,Comedy,89
LES VISITEURS II,2003-04-01,France 2,France,7.03824,29.9,Tuesday,non,tt0120882,6.1,13680,1998,"Comedy,Fantasy",118
DR DOLITTLE,2003-10-23,France 3,Etats-Unis,6.45172,24.3,Thursday,oui,tt0061584,6.2,10545,1967,"Adventure,Comedy,Family",152
US MARSHALS,2003-05-22,France 3,Etats-Unis,5.5986,26.1,Thursday,non,tt0120873,6.6,116450,1998,"Action,Crime,Thriller",131
LE FABULEUX DESTIN D'AMELIE POULAIN,2003-12-18,France 3,France,5.5986,23.8,Thursday,non,tt0211915,8.3,809929,2001,"Comedy,Romance",122
LE MUR DE L'ATLANTIQUE,2003-03-17,France 3,France,5.22536,21.8,Monday,non,tt0066108,5.8,885,1970,"Comedy,War",107
LA LIGNE VERTE,2003-06-19,France 3,Etats-Unis,4.95876,28.1,Thursday,non,tt0120689,8.6,1456337,1999,"Crime,Drama,Fantasy",189
"BALTO, CHIEN LOUP, HEROS DES NEIGES",2003-12-24,France 5,Etats-Unis,1.17304,9.9,Wednesday,oui,tt0112453,7.1,49322,1995,"Adventure,Animation,Drama",78
LITTLE NEMO AU PAYS DE SLUMBERLAND,2003-12-31,France 5,Japon,0.74648,5.9,Wednesday,oui,tt0104740,7.0,8500,1989,"Adventure,Animation,Comedy",85
DELITS FLAGRANTS,2003-08-10,France 5,France,0.05332,12.5,Sunday,oui,tt0109697,7.7,343,1994,Documentary,109
FAITS DIVERS,2003-08-12,France 5,France,0.05332,11.1,Tuesday,oui,tt0085520,7.2,312,1983,Documentary,108
LES TEMPS MODERNES,2003-12-30,Arte,Etats-Unis,2.9326,12.1,Tuesday,oui,tt0027977,8.5,268417,1936,"Comedy,Drama,Romance",87
TENUE DE SOIREE,2003-05-01,Arte,France,2.34608,10.4,Thursday,non,tt0092068,6.9,3717,1986,"Comedy,Crime,Drama",84
DEUX HOMMES DANS LA VILLE,2003-09-28,Arte,France,2.29276,9.3,Sunday,non,tt0069967,7.3,5385,1973,"Crime,Drama",100
LES AVENTURES D'ARSENE LUPIN,2003-10-19,Arte,France,2.18612,8.6,Sunday,oui,tt0050152,6.3,712,1957,"Crime,Mystery",104
LES LUMIERES DE LA VILLE,2003-12-29,Arte,Etats-Unis,2.07948,8.4,Monday,oui,tt0021749,8.5,203762,1931,"Comedy,Drama,Romance",87
LA VERITE SI JE MENS II,2003-10-07,TF1,France,10.61068,45.7,Tuesday,non,tt0214289,6.3,3803,2001,Comedy,105
LA FOLIE DES GRANDEURS,2003-12-28,TF1,France/Espagne,9.8642,40.7,Sunday,oui,tt0067108,7.2,8249,1971,"Adventure,Comedy,History",85
LE PLACARD,2003-10-14,TF1,France,9.54428,38.7,Tuesday,non,tt0243493,7.0,18564,2001,Comedy,84
MISSION IMPOSSIBLE II,2003-10-26,TF1,Etats-Unis,9.11772,39.6,Sunday,oui,tt0120755,6.1,386205,2000,"Action,Adventure,Thriller",123
LES RIVIERES POURPRES,2003-03-09,TF1,France,9.01108,37.6,Sunday,non,tt0228786,6.9,67086,2000,"Crime,Mystery,Thriller",106
INDIANA JONES ET LA DERNIERE CROISADE,2003-05-05,M6,Etats-Unis,6.29176,27.2,Monday,non,tt0097576,8.2,828518,1989,"Action,Adventure",127
INDIANA JONES ET LE TEMPLE MAUDIT,2003-04-21,M6,Etats-Unis,6.18512,27.7,Monday,oui,tt0087469,7.5,546113,1984,"Action,Adventure",118
SCENES DE CRIMES,2003-02-03,M6,France,5.22536,22.2,Monday,non,tt0230745,6.2,745,2000,"Crime,Thriller",100
LES AVENTURIERS DE L'ARCHE PERDUE,2003-04-14,M6,Etats-Unis,5.17204,21.2,Monday,oui,tt0082971,8.4,1060775,1981,"Action,Adventure",115
LE 13EME GUERRIER,2003-05-26,M6,Etats-Unis,4.74548,19.6,Monday,non,tt0120657,6.6,134661,1999,"Action,Adventure,History",102
UNE HIRONDELLE A FAIT LE PRINTEMPS,2004-09-14,France 2,France,9.32816,40.1,Tuesday,non,tt0240149,6.6,2480,2001,"Comedy,Drama",103
HARRY POTTER A L'ECOLE DES SORCIERS,2004-12-26,France 2,Etats-Unis,8.57328,38.2,Sunday,oui,tt0241527,7.7,887453,2001,"Adventure,Family,Fantasy",152
LE BOULET,2004-11-16,France 2,France,7.5488,30.1,Tuesday,non,tt0283957,5.9,5495,2002,"Action,Adventure,Comedy",107
LE BONHEUR EST DANS LE PRE,2004-12-12,France 2,France,7.0096,27.7,Sunday,non,tt0112556,7.0,3033,1995,Comedy,106
HAUTE VOLTIGE,2004-11-30,France 2,Etats-Unis,6.79392,28.3,Tuesday,non,tt0137494,6.3,126000,1999,"Action,Crime,Romance",113
L'ARME FATALE 3,2004-01-29,France 3,Etats-Unis,6.14688,26.5,Thursday,non,tt0104714,6.7,182192,1992,"Action,Crime,Thriller",118
LE JOUR LE PLUS LONG,2004-06-03,France 3,Etats-Unis,6.09296,30.3,Thursday,non,tt0056197,7.7,60642,1962,"Action,Drama,History",178
L'EFFACEUR,2004-03-11,France 3,Etats-Unis,5.44592,22.4,Thursday,non,tt0116213,6.2,120242,1996,"Action,Crime,Thriller",115
LES PLEINS POUVOIRS,2004-04-01,France 3,Etats-Unis,5.33808,21.9,Thursday,non,tt0118548,6.7,61611,1997,"Action,Crime,Drama",121
LE FUGITIF,2004-12-02,France 3,Etats-Unis,4.96064,21.9,Thursday,non,tt0106977,7.8,327806,1993,"Action,Crime,Drama",130
ROBIN DES BOIS,2004-12-30,France 5,Etats-Unis,1.13232,8.5,Thursday,oui,tt0955308,6.6,288365,2010,"Action,Adventure,Drama",140
LA TROMPETTE MAGIQUE,2004-12-20,France 5,Etats-Unis,0.97056,7.1,Monday,oui,tt0206367,5.0,1319,2001,"Animation,Drama,Family",75
BABAR ROI DES ELEPHANTS,2004-12-23,France 5,France/Canada/Allemagne,0.91664,7.6,Thursday,oui,tt0166090,6.0,606,1999,"Animation,Family",80
JEREMIAH JOHNSON,2004-10-31,Arte,Etats-Unis,3.45088,15.6,Sunday,oui,tt0068762,7.6,36099,1972,"Adventure,Drama,Western",108
MAIGRET ET L'AFFAIRE SAINT FIACRE,2004-04-08,Arte,France,3.12736,13.1,Thursday,non,tt0053033,7.0,1576,1959,"Crime,Drama,Thriller",101
RAZZIA SUR LA CHNOUF,2004-05-16,Arte,France,2.696,12.0,Sunday,non,tt0048543,7.0,1355,1955,"Crime,Drama,Thriller",105
LE DIABLE PAR LA QUEUE,2004-09-16,Arte,France/Italie,2.58816,11.0,Thursday,non,tt0064232,6.7,1033,1969,Comedy,90
QUE LA FETE COMMENCE,2004-01-08,Arte,France,2.58816,10.6,Thursday,non,tt0072053,7.0,1818,1975,"Drama,History,War",119
ASTERIX ET OBELIX : MISSION CLEOPATRE,2004-10-05,TF1,France,12.4016,50.2,Tuesday,non,tt0250223,6.7,59362,2002,"Adventure,Comedy,Family",107
MONSIEUR BATIGNOLE,2004-04-13,TF1,France,12.29376,51.7,Tuesday,oui,tt0291400,7.0,3506,2002,"Comedy,Drama,War",100
LES BRONZES FONT DU SKI,2004-02-17,TF1,France,10.83792,41.9,Tuesday,oui,tt0078907,7.4,9478,1979,Comedy,90
SHREK,2004-10-26,TF1,Etats-Unis,10.29872,38.8,Tuesday,oui,tt0126029,7.9,758473,2001,"Adventure,Animation,Comedy",90
SEUL AU MONDE,2004-04-25,TF1,Etats-Unis,10.08304,47.3,Sunday,oui,tt0162222,7.8,655565,2000,"Adventure,Drama,Romance",143
LE MASQUE DE ZORRO,2004-11-01,M6,Etats-Unis,7.5488,29.7,Monday,oui,tt0120746,6.8,201895,1998,"Action,Adventure,Comedy",136
LE MASQUE DE L'ARAIGNEE,2004-09-06,M6,Etats-Unis,5.49984,24.8,Monday,oui,tt0164334,6.4,98212,2001,"Crime,Drama,Mystery",104
ARMAGEDDON,2004-03-08,M6,Etats-Unis,5.392,24.8,Monday,non,tt0120591,6.7,460427,1998,"Action,Adventure,Sci-Fi",151
LES EVADES,2004-11-29,M6,Etats-Unis,5.28416,24.0,Monday,non,tt0111161,9.3,2984330,1994,Drama,142
RONIN,2004-02-02,M6,Etats-Unis,4.96064,21.1,Monday,non,tt0122690,7.2,199397,1998,"Action,Crime,Thriller",122
OCEAN'S ELEVEN,2005-02-20,France 2,Etats-Unis,8.8064,32.5,Sunday,oui,tt0240772,7.7,636004,2001,"Crime,Thriller",116
CHOUCHOU,2005-04-16,France 2,France,8.42112,35.2,Saturday,oui,tt0328955,4.7,2480,2003,Comedy,105
EFFROYABLES JARDINS,2005-03-29,France 2,France,8.36608,33.3,Tuesday,non,tt0285052,7.0,1683,2003,"Drama,War",95
L'OMBRE D'UN SOUPCON,2005-02-13,France 2,Etats-Unis,7.59552,29.9,Sunday,oui,tt0156934,5.4,24456,1999,"Drama,Mystery,Romance",133
UN CRIME AU PARADIS,2005-01-30,France 2,France,7.32032,27.1,Sunday,non,tt0245530,6.5,2046,2001,Comedy,89
PALE RIDER,2005-04-14,France 3,Etats-Unis,6.43968,26.6,Thursday,oui,tt0089767,7.3,66658,1985,"Drama,Western",115
